Date,Price
2023-12-11,72.67
2023-12-12,72.37
2023-12-13,73.12
2023-12-14,72.93
2023-12-15,70.93
2023-12-16,72.19
2023-12-17,71.18
2023-12-18,70.85
2023-12-19,70.73
2023-12-20,69.83
2023-12-21,70.93
2023-12-22,73.58
2023-12-23,72.45
2023-12-24,71.12
2023-12-25,72.22
2023-12-26,73.24
2023-12-27,75.98
2023-12-28,76.51
2023-12-29,73.25
2023-12-30,73.22
2023-12-31,72.83
2024-01-01,74.72
2024-01-02,72.97
2024-01-03,65.24
2024-01-04,66.41
2024-01-05,66.0
2024-01-06,65.64
2024-01-07,64.27
2024-01-08,67.73
2024-01-09,66.99
2024-01-10,70.1
2024-01-11,71.88
2024-01-12,72.97
2024-01-13,71.98
2024-01-14,69.78
2024-01-15,69.13
2024-01-16,69.44
2024-01-17,69.46
2024-01-18,68.11
2024-01-19,71.29
2024-01-20,71.36
2024-01-21,71.75
2024-01-22,67.36
2024-01-23,65.5
2024-01-24,66.13
2024-01-25,65.5
2024-01-26,67.05
2024-01-27,68.06
2024-01-28,68.35
2024-01-29,68.43
2024-01-30,67.47
2024-01-31,66.76
2024-02-01,67.54
2024-02-02,68.05
2024-02-03,68.81
2024-02-04,66.94
2024-02-05,67.7
2024-02-06,68.29
2024-02-07,68.62
2024-02-08,70.53
2024-02-09,70.64
2024-02-10,70.8
2024-02-11,71.55
2024-02-12,72.82
2024-02-13,68.97
2024-02-14,69.81
2024-02-15,69.76
2024-02-16,70.59
2024-02-17,69.97
2024-02-18,70.8
2024-02-19,71.3
2024-02-20,69.65
2024-02-21,68.9
2024-02-22,68.8
2024-02-23,68.8
2024-02-24,70.41
2024-02-25,70.16
2024-02-26,71.93
2024-02-27,73.97
2024-02-28,74.48
2024-02-29,79.92
2024-03-01,84.87
2024-03-02,94.49
2024-03-03,90.7
2024-03-04,88.95
2024-03-05,81.93
2024-03-06,85.87
2024-03-07,88.0
2024-03-08,88.32
2024-03-09,90.67
2024-03-10,87.43
2024-03-11,103.86
2024-03-12,97.52
2024-03-13,97.24
2024-03-14,94.08
2024-03-15,89.75
2024-03-16,84.12
2024-03-17,85.93
2024-03-18,86.77
2024-03-19,78.45
2024-03-20,84.65
2024-03-21,85.75
2024-03-22,83.4
2024-03-23,85.26
2024-03-24,89.65
2024-03-25,90.58
2024-03-26,95.77
2024-03-27,93.55
2024-03-28,94.11
2024-03-29,109.06
2024-03-30,102.84
2024-03-31,105.01
2024-04-01,99.2
2024-04-02,106.75
2024-04-03,98.33
2024-04-04,98.38
2024-04-05,97.82
2024-04-06,101.6
2024-04-07,101.21
2024-04-08,103.27
2024-04-09,97.53
2024-04-10,96.71
2024-04-11,98.78
2024-04-12,86.08
2024-04-13,77.33
2024-04-14,79.72
2024-04-15,78.1
2024-04-16,79.94
2024-04-17,80.19
2024-04-18,80.75
2024-04-19,80.87
2024-04-20,85.04
2024-04-21,84.16
2024-04-22,85.39
2024-04-23,85.02
2024-04-24,83.25
2024-04-25,83.78
2024-04-26,88.1
2024-04-27,83.88
2024-04-28,83.99
2024-04-29,83.51
2024-04-30,79.49
2024-05-01,80.17
2024-05-02,80.02
2024-05-03,81.85
2024-05-04,81.66
2024-05-05,81.32
2024-05-06,80.79
2024-05-07,80.84
2024-05-08,81.7
2024-05-09,83.08
2024-05-10,80.22
2024-05-11,81.39
2024-05-12,81.41
2024-05-13,80.62
2024-05-14,78.79
2024-05-15,82.45
2024-05-16,82.43
2024-05-17,84.14
2024-05-18,83.84
2024-05-19,82.4
2024-05-20,88.64
2024-05-21,88.26
2024-05-22,85.78
2024-05-23,85.45
2024-05-24,85.0
2024-05-25,84.98
2024-05-26,83.9
2024-05-27,85.24
2024-05-28,83.44
2024-05-29,83.59
2024-05-30,84.42
2024-05-31,83.21
2024-06-01,83.48
2024-06-02,83.11
2024-06-03,82.82
2024-06-04,83.65
2024-06-05,85.44
2024-06-06,84.19
2024-06-07,80.13
2024-06-08,79.97
2024-06-09,80.49
2024-06-10,79.66
2024-06-11,77.32
2024-06-12,78.5
2024-06-13,79.15
2024-06-14,77.61
2024-06-15,79.23
2024-06-16,78.98
2024-06-17,76.59
2024-06-18,72.66
2024-06-19,73.77
2024-06-20,74.69
2024-06-21,74.17
2024-06-22,74.61
2024-06-23,73.37
2024-06-24,69.68
2024-06-25,71.35
2024-06-26,71.02
2024-06-27,73.28
2024-06-28,72.9
2024-06-29,74.95
2024-06-30,75.31
2024-07-01,74.38
2024-07-02,76.04
2024-07-03,72.08
2024-07-04,65.42
2024-07-05,61.85
2024-07-06,65.39
2024-07-07,62.05
2024-07-08,64.92
2024-07-09,65.3
2024-07-10,66.96
2024-07-11,67.36
2024-07-12,69.25
2024-07-13,69.82
2024-07-14,69.92
2024-07-15,72.29
2024-07-16,73.21
2024-07-17,71.38
2024-07-18,71.63
2024-07-19,73.4
2024-07-20,73.03
2024-07-21,73.98
2024-07-22,71.26
2024-07-23,72.92
2024-07-24,71.29
2024-07-25,68.79
2024-07-26,71.31
2024-07-27,71.32
2024-07-28,71.07
2024-07-29,73.69
2024-07-30,71.69
2024-07-31,70.14
2024-08-01,69.59
2024-08-02,65.06
2024-08-03,64.65
2024-08-04,62.46
2024-08-05,56.08
2024-08-06,58.25
2024-08-07,55.99
2024-08-08,61.16
2024-08-09,60.72
2024-08-10,61.16
2024-08-11,59.73
2024-08-12,61.5
2024-08-13,63.44
2024-08-14,64.06
2024-08-15,65.33
2024-08-16,66.49
2024-08-17,67.59
2024-08-18,66.33
2024-08-19,66.32
2024-08-20,64.41
2024-08-21,64.27
2024-08-22,63.77
2024-08-23,66.1
2024-08-24,66.57
2024-08-25,64.82
2024-08-26,63.01
2024-08-27,60.38
2024-08-28,61.82
2024-08-29,62.47
2024-08-30,64.94
2024-08-31,64.97
2024-09-01,63.59
2024-09-02,65.33
2024-09-03,64.36
2024-09-04,65.42
2024-09-05,66.08
2024-09-06,63.05
2024-09-07,62.07
2024-09-08,60.95
2024-09-09,61.42
2024-09-10,61.51
2024-09-11,62.19
2024-09-12,62.84
2024-09-13,64.91
2024-09-14,65.91
2024-09-15,63.24
2024-09-16,62.62
2024-09-17,63.77
2024-09-18,64.84
2024-09-19,65.4
2024-09-20,65.33
2024-09-21,66.84
2024-09-22,68.68
2024-09-23,66.96
2024-09-24,66.7
2024-09-25,66.55
2024-09-26,68.54
2024-09-27,71.13
2024-09-28,69.95
2024-09-29,69.27
2024-09-30,66.82
2024-10-01,63.41
2024-10-02,62.95
2024-10-03,63.44
2024-10-04,64.95
2024-10-05,66.29
2024-10-06,67.02
2024-10-07,64.77
2024-10-08,65.69
2024-10-09,64.59
2024-10-10,64.32
2024-10-11,65.58
2024-10-12,66.19
2024-10-13,64.8
2024-10-14,66.83
2024-10-15,70.87
2024-10-16,70.08
2024-10-17,72.8
2024-10-18,73.11
2024-10-19,74.9
2024-10-20,74.3
2024-10-21,70.77
2024-10-22,70.04
2024-10-23,70.04
2024-10-24,71.18
2024-10-25,68.84
2024-10-26,68.47
2024-10-27,71.06
2024-10-28,70.8
2024-10-29,73.98
2024-10-30,71.76
2024-10-31,69.33
2024-11-01,70.27
2024-11-02,69.2
2024-11-03,66.86
2024-11-04,65.56
2024-11-05,65.39
2024-11-06,71.01
2024-11-07,71.45
2024-11-08,72.78
2024-11-09,73.98
2024-11-10,76.58
2024-11-11,80.03
2024-11-12,76.69
2024-11-13,75.39
2024-11-14,82.38
2024-11-15,83.7
2024-11-16,95.42
2024-11-17,87.2
2024-11-18,89.22
2024-11-19,86.68
2024-11-20,83.38
2024-11-21,89.51
2024-11-22,92.2
2024-11-23,99.5
2024-11-24,96.92
2024-11-25,92.26
2024-11-26,92.82
2024-11-27,97.23
2024-11-28,95.54
2024-11-29,104.77
2024-11-30,102.74
2024-12-01,119.55
2024-12-02,132.93
2024-12-03,130.89
2024-12-04,133.69
2024-12-05,135.78
2024-12-06,135.93
2024-12-07,133.79
2024-12-08,134.91
2024-12-09,110.44
2024-12-10,109.8
2024-12-11,117.3
2024-12-12,119.24
2024-12-13,124.52
2024-12-14,118.21
2024-12-15,121.11
2024-12-16,117.99
2024-12-17,125.63
2024-12-18,108.35
2024-12-19,99.36
2024-12-20,101.38
2024-12-21,101.56
2024-12-22,99.78
2024-12-23,106.77
2024-12-24,108.35
2024-12-25,109.82
2024-12-26,102.23
2024-12-27,100.58
2024-12-28,100.74
2024-12-29,98.51
2024-12-30,99.4
2024-12-31,103.28
2025-01-01,105.24
2025-01-02,105.14
2025-01-03,112.71
2025-01-04,111.21
2025-01-05,115.72
2025-01-06,114.01
2025-01-07,102.72
2025-01-08,101.43
2025-01-09,102.23
2025-01-10,103.96
2025-01-11,104.39
2025-01-12,102.34
2025-01-13,98.37
2025-01-14,102.45
2025-01-15,116.96
2025-01-16,124.41
2025-01-17,137.04
2025-01-18,125.4
