Date,Price
2023-12-11,14.768
2023-12-12,14.523
2023-12-13,14.77
2023-12-14,15.37
2023-12-15,14.281
2023-12-16,14.32
2023-12-17,14.013
2023-12-18,14.674
2023-12-19,14.1
2023-12-20,14.253
2023-12-21,15.305
2023-12-22,15.479
2023-12-23,15.682
2023-12-24,15.262
2023-12-25,15.585
2023-12-26,15.092
2023-12-27,16.709
2023-12-28,16.005
2023-12-29,15.54
2023-12-30,15.167
2023-12-31,14.941
2024-01-01,15.548
2024-01-02,15.166
2024-01-03,14.148
2024-01-04,14.526
2024-01-05,14.091
2024-01-06,13.436
2024-01-07,13.151
2024-01-08,14.139
2024-01-09,13.716
2024-01-10,15.072
2024-01-11,15.022
2024-01-12,14.151
2024-01-13,14.345
2024-01-14,14.755
2024-01-15,15.185
2024-01-16,15.271
2024-01-17,15.761
2024-01-18,14.658
2024-01-19,16.118
2024-01-20,15.781
2024-01-21,15.396
2024-01-22,14.598
2024-01-23,14.3
2024-01-24,14.243
2024-01-25,13.744
2024-01-26,14.187
2024-01-27,14.345
2024-01-28,14.48
2024-01-29,15.004
2024-01-30,15.475
2024-01-31,15.429
2024-02-01,17.19
2024-02-02,17.828
2024-02-03,17.658
2024-02-04,18.153
2024-02-05,19.164
2024-02-06,18.287
2024-02-07,18.817
2024-02-08,18.212
2024-02-09,18.47
2024-02-10,19.084
2024-02-11,20.146
2024-02-12,20.465
2024-02-13,19.87
2024-02-14,20.24
2024-02-15,19.932
2024-02-16,19.551
2024-02-17,20.032
2024-02-18,20.119
2024-02-19,19.832
2024-02-20,19.281
2024-02-21,18.594
2024-02-22,18.121
2024-02-23,17.935
2024-02-24,18.533
2024-02-25,18.722
2024-02-26,19.083
2024-02-27,19.023
2024-02-28,19.43
2024-02-29,19.274
2024-03-01,20.051
2024-03-02,21.398
2024-03-03,20.507
2024-03-04,20.416
2024-03-05,18.973
2024-03-06,20.085
2024-03-07,20.091
2024-03-08,19.699
2024-03-09,19.972
2024-03-10,21.68
2024-03-11,21.277
2024-03-12,20.704
2024-03-13,20.751
2024-03-14,20.88
2024-03-15,19.63
2024-03-16,18.115
2024-03-17,18.666
2024-03-18,18.301
2024-03-19,16.805
2024-03-20,18.412
2024-03-21,18.458
2024-03-22,18.367
2024-03-23,18.063
2024-03-24,18.518
2024-03-25,19.375
2024-03-26,20.007
2024-03-27,19.289
2024-03-28,19.148
2024-03-29,18.967
2024-03-30,18.933
2024-03-31,19.171
2024-04-01,18.358
2024-04-02,17.952
2024-04-03,17.687
2024-04-04,17.791
2024-04-05,17.325
2024-04-06,17.559
2024-04-07,17.913
2024-04-08,18.101
2024-04-09,17.362
2024-04-10,17.417
2024-04-11,17.555
2024-04-12,15.156
2024-04-13,13.288
2024-04-14,14.098
2024-04-15,13.58
2024-04-16,13.46
2024-04-17,13.133
2024-04-18,13.887
2024-04-19,13.946
2024-04-20,14.959
2024-04-21,15.105
2024-04-22,15.445
2024-04-23,15.178
2024-04-24,14.536
2024-04-25,14.593
2024-04-26,14.49
2024-04-27,14.267
2024-04-28,13.809
2024-04-29,14.074
2024-04-30,13.129
2024-05-01,13.347
2024-05-02,13.59
2024-05-03,14.093
2024-05-04,14.316
2024-05-05,14.371
2024-05-06,14.484
2024-05-07,13.997
2024-05-08,13.9
2024-05-09,14.237
2024-05-10,13.564
2024-05-11,13.306
2024-05-12,13.559
2024-05-13,13.393
2024-05-14,12.98
2024-05-15,13.865
2024-05-16,15.516
2024-05-17,16.231
2024-05-18,16.329
2024-05-19,16.56
2024-05-20,17.262
2024-05-21,16.739
2024-05-22,16.354
2024-05-23,16.596
2024-05-24,17.25
2024-05-25,17.443
2024-05-26,17.042
2024-05-27,18.786
2024-05-28,18.528
2024-05-29,18.453
2024-05-30,17.944
2024-05-31,18.414
2024-06-01,18.443
2024-06-02,18.143
2024-06-03,17.629
2024-06-04,17.716
2024-06-05,17.741
2024-06-06,17.248
2024-06-07,16.318
2024-06-08,15.928
2024-06-09,16.372
2024-06-10,15.905
2024-06-11,14.988
2024-06-12,16.006
2024-06-13,15.141
2024-06-14,14.744
2024-06-15,14.857
2024-06-16,15.144
2024-06-17,14.523
2024-06-18,13.986
2024-06-19,14.345
2024-06-20,14.255
2024-06-21,13.848
2024-06-22,13.482
2024-06-23,13.194
2024-06-24,13.617
2024-06-25,14.198
2024-06-26,13.915
2024-06-27,14.433
2024-06-28,13.778
2024-06-29,13.543
2024-06-30,14.281
2024-07-01,14.338
2024-07-02,14.415
2024-07-03,13.589
2024-07-04,12.538
2024-07-05,12.311
2024-07-06,13.18
2024-07-07,12.352
2024-07-08,13.121
2024-07-09,12.841
2024-07-10,12.79
2024-07-11,12.347
2024-07-12,12.74
2024-07-13,13.021
2024-07-14,13.448
2024-07-15,14.394
2024-07-16,14.206
2024-07-17,13.737
2024-07-18,13.593
2024-07-19,14.076
2024-07-20,14.247
2024-07-21,14.816
2024-07-22,13.93
2024-07-23,13.91
2024-07-24,13.4
2024-07-25,12.94
2024-07-26,13.53
2024-07-27,13.54
2024-07-28,13.3
2024-07-29,13.53
2024-07-30,13.14
2024-07-31,12.83
2024-08-01,12.88
2024-08-02,11.93
