Date,Price
2023-11-05,244.0
2023-11-06,255.1
2023-11-07,246.2
2023-11-08,246.7
2023-11-09,251.6
2023-11-10,251.0
2023-11-11,251.5
2023-11-12,247.4
2023-11-13,241.1
2023-11-14,242.3
2023-11-15,253.7
2023-11-16,242.7
2023-11-17,244.9
2023-11-18,244.8
2023-11-19,246.4
2023-11-20,253.1
2023-11-21,225.5
2023-11-22,236.1
2023-11-23,233.8
2023-11-24,232.7
2023-11-25,234.4
2023-11-26,231.7
2023-11-27,227.2
2023-11-28,229.6
2023-11-29,227.3
2023-11-30,227.6
2023-12-01,228.5
2023-12-02,229.0
2023-12-03,228.1
2023-12-04,233.5
2023-12-05,231.2
2023-12-06,229.4
2023-12-07,232.6
2023-12-08,238.9
2023-12-09,237.7
2023-12-10,239.8
2023-12-11,246.4
2023-12-12,254.6
2023-12-13,252.0
2023-12-14,253.3
2023-12-15,244.9
2023-12-16,244.4
2023-12-17,238.8
2023-12-18,241.7
2023-12-19,252.9
2023-12-20,260.3
2023-12-21,272.1
2023-12-22,271.1
2023-12-23,271.0
2023-12-24,264.5
2023-12-25,266.9
2023-12-26,297.7
2023-12-27,324.1
2023-12-28,322.6
2023-12-29,313.7
2023-12-30,317.1
2023-12-31,311.8
2024-01-01,313.5
2024-01-02,312.2
2024-01-03,315.8
2024-01-04,323.7
2024-01-05,317.5
2024-01-06,307.5
2024-01-07,302.4
2024-01-08,303.7
2024-01-09,301.1
2024-01-10,305.8
2024-01-11,308.2
2024-01-12,296.6
2024-01-13,302.2
2024-01-14,299.5
2024-01-15,317.5
2024-01-16,315.2
2024-01-17,309.4
2024-01-18,313.0
2024-01-19,314.7
2024-01-20,317.2
2024-01-21,318.6
2024-01-22,305.9
2024-01-23,298.8
2024-01-24,293.1
2024-01-25,292.1
2024-01-26,302.2
2024-01-27,305.6
2024-01-28,305.3
2024-01-29,310.7
2024-01-30,307.6
2024-01-31,300.5
2024-02-01,300.2
2024-02-02,301.4
2024-02-03,299.7
2024-02-04,304.7
2024-02-05,301.2
2024-02-06,302.7
2024-02-07,307.3
2024-02-08,319.2
2024-02-09,324.0
2024-02-10,323.0
2024-02-11,320.7
2024-02-12,327.8
2024-02-13,324.7
2024-02-14,333.9
2024-02-15,354.2
2024-02-16,360.4
2024-02-17,352.9
2024-02-18,349.8
2024-02-19,351.6
2024-02-20,354.6
2024-02-21,379.2
2024-02-22,382.6
2024-02-23,375.5
2024-02-24,381.7
2024-02-25,388.5
2024-02-26,401.6
2024-02-27,394.6
2024-02-28,414.6
2024-02-29,399.4
2024-03-01,407.4
2024-03-02,410.9
2024-03-03,414.5
2024-03-04,418.4
2024-03-05,394.1
2024-03-06,429.4
2024-03-07,474.6
2024-03-08,485.8
2024-03-09,488.3
2024-03-10,528.9
2024-03-11,523.0
2024-03-12,537.5
2024-03-13,630.5
2024-03-14,603.2
2024-03-15,632.7
2024-03-16,576.4
2024-03-17,571.7
2024-03-18,555.4
2024-03-19,507.7
2024-03-20,556.8
2024-03-21,553.8
2024-03-22,553.8
2024-03-23,551.9
2024-03-24,567.7
2024-03-25,587.0
2024-03-26,580.4
2024-03-27,574.3
2024-03-28,583.4
2024-03-29,612.5
2024-03-30,600.7
2024-03-31,606.7
2024-04-01,575.8
2024-04-02,551.4
2024-04-03,561.5
2024-04-04,585.5
2024-04-05,577.8
2024-04-06,585.4
2024-04-07,583.9
2024-04-08,586.4
2024-04-09,580.5
2024-04-10,609.7
2024-04-11,604.6
2024-04-12,595.6
2024-04-13,553.1
2024-04-14,566.4
2024-04-15,552.7
2024-04-16,537.6
2024-04-17,534.1
2024-04-18,552.1
2024-04-19,554.0
2024-04-20,570.9
2024-04-21,579.6
2024-04-22,604.5
2024-04-23,606.2
2024-04-24,608.8
2024-04-25,613.2
2024-04-26,598.0
2024-04-27,596.2
2024-04-28,600.2
2024-04-29,592.8
2024-04-30,578.4
2024-05-01,561.8
2024-05-02,560.5
2024-05-03,587.0
2024-05-04,585.7
2024-05-05,592.0
2024-05-06,588.2
2024-05-07,576.5
2024-05-08,588.6
2024-05-09,596.8
2024-05-10,585.6
2024-05-11,592.2
2024-05-12,594.8
2024-05-13,591.7
2024-05-14,567.1
2024-05-15,581.0
2024-05-16,569.2
2024-05-17,580.9
2024-05-18,580.3
2024-05-19,574.5
2024-05-20,599.6
2024-05-21,618.5
2024-05-22,614.8
2024-05-23,599.3
2024-05-24,600.3
2024-05-25,602.4
2024-05-26,600.2
2024-05-27,603.9
2024-05-28,601.7
2024-05-29,595.7
2024-05-30,595.1
2024-05-31,593.7
2024-06-01,601.9
2024-06-02,602.9
2024-06-03,626.4
2024-06-04,685.7
2024-06-05,698.8
2024-06-06,711.2
2024-06-07,684.0
2024-06-08,682.7
2024-06-09,673.0
2024-06-10,625.1
2024-06-11,602.5
2024-06-12,619.4
2024-06-13,599.8
2024-06-14,603.3
2024-06-15,608.2
2024-06-16,610.8
2024-06-17,604.3
2024-06-18,588.6
2024-06-19,599.3
2024-06-20,587.7
2024-06-21,586.1
2024-06-22,591.1
2024-06-23,577.5
2024-06-24,568.1
2024-06-25,578.2
2024-06-26,573.0
2024-06-27,581.7
2024-06-28,567.4
2024-06-29,570.0
